,mrr_original,mrr_mdpr,recall_original,recall_mdpr,mrr_difference_mdpr_better,recall_difference_mdpr_better
arabic,0.291,0.2666,0.65,0.658,-0.024399999999999977,0.008000000000000007
bengali,0.291,0.2861,0.779,0.7162,-0.00489999999999996,-0.06280000000000008
english,0.291,0.275,0.678,0.7173,-0.01599999999999996,0.0393
finnish,0.206,0.2117,0.568,0.6066,0.005700000000000011,0.03860000000000008
indonesian,0.271,0.3092,0.685,0.7425,0.038199999999999956,0.057499999999999996
japanese,0.213,0.2413,0.584,0.6319,0.028299999999999992,0.047900000000000054
korean,0.235,0.2206,0.533,0.5424,-0.014399999999999996,0.009399999999999964
russian,0.283,0.2839,0.647,0.6621,0.0009000000000000119,0.015100000000000002
swahili,0.189,0.1934,0.528,0.4918,0.004399999999999987,-0.03620000000000001
telugu,0.111,0.1056,0.366,0.387,-0.005400000000000002,0.02100000000000002
thai,0.172,0.1567,0.515,0.4766,-0.01529999999999998,-0.03839999999999999
mean,0.23209090909090913,0.23182727272727274,0.5939090909090909,0.6029454545454547,-0.00026363636363635826,0.009036363636363648
