,mrr_original,mrr_mdpr,recall_original,recall_mdpr
arabic,0.291,0.2666,0.65,0.658
bengali,0.291,0.2861,0.779,0.7162
english,0.291,0.275,0.678,0.7173
finnish,0.206,0.2117,0.568,0.6066
indonesian,0.271,0.3092,0.685,0.7425
japanese,0.213,0.2413,0.584,0.6319
korean,0.235,0.2206,0.533,0.5424
russian,0.283,0.2839,0.647,0.6621
swahili,0.189,0.1934,0.528,0.4918
telugu,0.111,0.1056,0.366,0.387
thai,0.172,0.1567,0.515,0.4766
mean,0.23209090909090913,0.23182727272727274,0.5939090909090909,0.6029454545454547
